__time,/desired_joint_accelerations/data[0],/desired_joint_accelerations/data[1],/desired_joint_accelerations/layout/data_offset,/joint_accelerations/data[0],/joint_accelerations/data[1],/joint_accelerations/layout/data_offset,/joint_states/header/stamp,/joint_states/joint_1/position,/joint_states/joint_1/velocity,/joint_states/joint_2/position,/joint_states/joint_2/velocity
1781155891.452671,,,,-0.046130217,-0.023503936,0.000000000,,,,,
1781155891.452732,,,,,,,1781155891.452579737,0.951926135,0.033781691,-0.707322985,0.013783342
1781155891.453455,-0.046502116,-0.023251058,0.000000000,,,,,,,,
1781155891.453749,,,,-0.046130854,-0.023555109,0.000000000,,,,,
1781155891.453815,,,,,,,1781155891.453608513,0.951958664,0.033737212,-0.707309717,0.013760631
1781155891.454541,,,,-0.046181362,-0.023551150,0.000000000,,,,,
1781155891.454573,,,,,,,1781155891.454421043,0.951987575,0.033697591,-0.707297928,0.013740425
1781155891.454577,-0.046534841,-0.023267421,0.000000000,,,,,,,,
1781155891.455328,,,,-0.046246066,-0.023532300,0.000000000,,,,,
1781155891.455340,-0.046567566,-0.023283783,0.000000000,,,,,,,,
1781155891.455369,,,,,,,1781155891.455230236,0.952015404,0.033659355,-0.707286584,0.013720969
1781155891.456374,,,,-0.046288258,-0.023538343,0.000000000,,,,,
1781155891.456386,,,,,,,1781155891.456210375,0.952048524,0.033613747,-0.707273087,0.013697776
1781155891.456389,-0.046600291,-0.023300146,0.000000000,,,,,,,,
1781155891.457178,,,,-0.046274069,-0.023606021,0.000000000,,,,,
1781155891.457207,-0.046633016,-0.023316508,0.000000000,,,,,,,,
1781155891.457235,,,,,,,1781155891.457109213,0.952078199,0.033572845,-0.707260998,0.013676911
1781155891.458204,,,,-0.046337521,-0.023587813,0.000000000,,,,,
1781155891.458229,-0.046665741,-0.023332870,0.000000000,,,,,,,,
1781155891.458249,,,,,,,1781155891.458121777,0.952111773,0.033526442,-0.707247326,0.013653290
1781155891.458997,,,,-0.046335596,-0.023642156,0.000000000,,,,,
1781155891.459092,,,,,,,1781155891.458939314,0.952139267,0.033488400,-0.707236132,0.013633879
1781155891.459384,-0.046698466,-0.023349233,0.000000000,,,,,,,,
1781155891.459964,,,,-0.046422309,-0.023598771,0.000000000,,,,,
1781155891.460018,,,,,,,1781155891.459901571,0.952171493,0.033443668,-0.707223017,0.013611140
1781155891.460405,-0.046731191,-0.023365595,0.000000000,,,,,,,,
1781155891.460858,,,,-0.046731191,-0.023365595,0.000000000,,,,,
1781155891.460913,,,,,,,1781155891.460800886,0.952201805,0.033401260,-0.707210684,0.013589936
1781155891.461220,-0.046763916,-0.023381958,0.000000000,,,,,,,,
1781155891.461731,,,,-0.046461621,-0.023662818,0.000000000,,,,,
1781155891.461912,,,,,,,1781155891.461680412,0.952231147,0.033360395,-0.707198749,0.013569123
1781155891.462249,-0.046796641,-0.023398320,0.000000000,,,,,,,,
1781155891.462698,,,,-0.046796641,-0.023398320,0.000000000,,,,,
1781155891.462816,,,,,,,1781155891.462639809,0.952263075,0.033315546,-0.707185767,0.013546699
1781155891.463281,-0.046829365,-0.023414683,0.000000000,,,,,,,,
1781155891.463624,,,,-0.046796641,-0.023398320,0.000000000,,,,,
